stn;time;rre150d0
CDF;19021014;14.0
CDF;19021015;0.0
CDF;19021016;18.4
CDF;19021017;2.2
CDF;19021018;14.4
CDF;19021019;4.9
CDF;19021020;21.8
CDF;19021021;12.2
CDF;19021022;4.2
CDF;19021023;1.9
CDF;19021024;0.0
CDF;19021025;0.0
CDF;19021026;0.0
CDF;19021027;2.2
CDF;19021028;1.8
CDF;19021029;0.0
CDF;19021030;0.0
CDF;19021031;0.0
CDF;19021101;0.0
CDF;19021102;0.0
CDF;19021103;0.0
CDF;19021104;0.0
CDF;19021105;0.0
CDF;19021106;0.1
CDF;19021107;1.5
CDF;19021108;0.0
CDF;19021109;8.6
CDF;19021110;0.0
CDF;19021111;0.0
CDF;19021112;0.0
CDF;19021113;0.0
CDF;19021114;0.0
CDF;19021115;0.0
CDF;19021116;0.0
CDF;19021117;0.8
CDF;19021118;1.3
CDF;19021119;3.9
CDF;19021120;2.5
CDF;19021121;0.0
CDF;19021122;0.0
CDF;19021123;1.6
CDF;19021124;0.0
CDF;19021125;5.7
CDF;19021126;19.8
CDF;19021127;0.8
CDF;19021128;4.0
CDF;19021129;0.0
CDF;19021130;1.2
CDF;19021201;7.3
CDF;19021202;9.1
CDF;19021203;7.2
CDF;19021204;1.2
CDF;19021205;0.8
CDF;19021206;0.2
CDF;19021207;0.5
CDF;19021208;0.0
CDF;19021209;0.0
CDF;19021210;0.0
CDF;19021211;0.0
CDF;19021212;0.0
CDF;19021213;0.0
CDF;19021214;0.0
CDF;19021215;7.7
CDF;19021216;13.6
CDF;19021217;13.5
CDF;19021218;23.0
CDF;19021219;16.2
CDF;19021220;13.3
CDF;19021221;27.2
CDF;19021222;0.3
CDF;19021223;0.0
CDF;19021224;0.0
CDF;19021225;0.0
CDF;19021226;11.1
CDF;19021227;0.2
CDF;19021228;0.1
CDF;19021229;10.0
CDF;19021230;2.1
CDF;19021231;0.7
CDF;19030101;0.2
CDF;19030102;23.1
CDF;19030103;9.4
CDF;19030104;13.3
CDF;19030105;1.4
CDF;19030106;0.0
CDF;19030107;0.0
CDF;19030108;0.0
CDF;19030109;0.2
CDF;19030110;2.1
CDF;19030111;20.5
CDF;19030112;5.2
CDF;19030113;2.1
CDF;19030114;0.6
CDF;19030115;0.0
CDF;19030116;0.0
CDF;19030117;0.2
CDF;19030118;1.4
CDF;19030119;0.0
CDF;19030120;0.0
CDF;19030121;0.0
CDF;19030122;0.0
CDF;19030123;0.8
CDF;19030124;0.0
CDF;19030125;0.0
CDF;19030126;0.0
CDF;19030127;0.0
CDF;19030128;0.1
CDF;19030129;0.0
CDF;19030130;0.0
CDF;19030131;0.0
CDF;19030201;13.8
CDF;19030202;6.0
CDF;19030203;0.0
CDF;19030204;0.0
CDF;19030205;0.0
CDF;19030206;0.0
CDF;19030207;0.0
CDF;19030208;0.0
CDF;19030209;0.2
CDF;19030210;0.0
CDF;19030211;0.0
CDF;19030212;0.0
CDF;19030213;0.0
CDF;19030214;0.1
CDF;19030215;15.7
CDF;19030216;0.0
CDF;19030217;0.0
CDF;19030218;0.0
CDF;19030219;0.0
CDF;19030220;0.0
CDF;19030221;0.0
CDF;19030222;0.0
CDF;19030223;2.1
CDF;19030224;0.0
CDF;19030225;0.0
CDF;19030226;2.5
CDF;19030227;0.0
CDF;19030228;13.2
CDF;19030301;7.2
CDF;19030302;8.4
CDF;19030303;29.2
CDF;19030304;0.0
CDF;19030305;2.9
CDF;19030306;11.1
CDF;19030307;1.5
CDF;19030308;3.0
